movieId,rec_1_id,rec_1_clean_title,rec_2_id,rec_2_clean_title,rec_3_id,rec_3_clean_title,rec_4_id,rec_4_clean_title,rec_5_id,rec_5_clean_title,rec_6_id,rec_6_clean_title,rec_7_id,rec_7_clean_title,rec_8_id,rec_8_clean_title,rec_9_id,rec_9_clean_title,rec_10_id,rec_10_clean_title
4993,4993,Lord of the Rings The Fellowship of the Ring The 2001,7153,Lord of the Rings The Return of the King The 2003,5952,Lord of the Rings The Two Towers The 2002,8368,Harry Potter and the Prisoner of Azkaban 2004,5618,Spirited Away Sen to Chihiro no kamikakushi 2001,40815,Harry Potter and the Goblet of Fire 2005,6539,Pirates of the Caribbean The Curse of the Black Pearl 2003,3000,Princess Mononoke Mononokehime 1997,4896,Harry Potter and the Sorcerers Stone aka Harry Potter and the Philosophers Stone 2001,5816,Harry Potter and the Chamber of Secrets 2002
50,50,Usual Suspects The 1995,1089,Reservoir Dogs 1992,1617,LA Confidential 1997,2542,Lock Stock  Two Smoking Barrels 1998,4226,Memento 2000,1213,Goodfellas 1990,1221,Godfather Part II The 1974,6016,City of God Cidade de Deus 2002,47,Seven aka Se7en 1995,4011,Snatch 2000
1210,1210,Star Wars Episode VI  Return of the Jedi 1983,1196,Star Wars Episode V  The Empire Strikes Back 1980,260,Star Wars Episode IV  A New Hope 1977,33493,Star Wars Episode III  Revenge of the Sith 2005,1291,Indiana Jones and the Last Crusade 1989,2628,Star Wars Episode I  The Phantom Menace 1999,1198,Raiders of the Lost Ark Indiana Jones and the Raiders of the Lost Ark 1981,2115,Indiana Jones and the Temple of Doom 1984,1200,Aliens 1986,7153,Lord of the Rings The Return of the King The 2003
1198,1198,Raiders of the Lost Ark Indiana Jones and the Raiders of the Lost Ark 1981,1291,Indiana Jones and the Last Crusade 1989,2115,Indiana Jones and the Temple of Doom 1984,1196,Star Wars Episode V  The Empire Strikes Back 1980,260,Star Wars Episode IV  A New Hope 1977,1200,Aliens 1986,1387,Jaws 1975,1197,Princess Bride The 1987,1204,Lawrence of Arabia 1962,2019,Seven Samurai Shichinin no samurai 1954
2858,2858,American Beauty 1999,3160,Magnolia 1999,2997,Being John Malkovich 1999,6711,Lost in Translation 2003,3949,Requiem for a Dream 2000,7361,Eternal Sunshine of the Spotless Mind 2004,2329,American History X 1998,6016,City of God Cidade de Deus 2002,2324,Life Is Beautiful La Vita  bella 1997,4878,Donnie Darko 2001
858,858,Godfather The 1972,1221,Godfather Part II The 1974,1228,Raging Bull 1980,1213,Goodfellas 1990,2019,Seven Samurai Shichinin no samurai 1954,923,Citizen Kane 1941,4262,Scarface 1983,1208,Apocalypse Now 1979,1252,Chinatown 1974,1204,Lawrence of Arabia 1962
5952,5952,Lord of the Rings The Two Towers The 2002,7153,Lord of the Rings The Return of the King The 2003,4993,Lord of the Rings The Fellowship of the Ring The 2001,88125,Harry Potter and the Deathly Hallows Part 2 2011,33493,Star Wars Episode III  Revenge of the Sith 2005,8368,Harry Potter and the Prisoner of Azkaban 2004,81834,Harry Potter and the Deathly Hallows Part 1 2010,40815,Harry Potter and the Goblet of Fire 2005,6539,Pirates of the Caribbean The Curse of the Black Pearl 2003,5618,Spirited Away Sen to Chihiro no kamikakushi 2001
7153,7153,Lord of the Rings The Return of the King The 2003,5952,Lord of the Rings The Two Towers The 2002,4993,Lord of the Rings The Fellowship of the Ring The 2001,88125,Harry Potter and the Deathly Hallows Part 2 2011,81834,Harry Potter and the Deathly Hallows Part 1 2010,8368,Harry Potter and the Prisoner of Azkaban 2004,91529,Dark Knight Rises The 2012,58559,Dark Knight The 2008,40815,Harry Potter and the Goblet of Fire 2005,6539,Pirates of the Caribbean The Curse of the Black Pearl 2003
47,47,Seven aka Se7en 1995,27773,Old Boy 2003,4011,Snatch 2000,1089,Reservoir Dogs 1992,32587,Sin City 2005,48516,Departed The 2006,4226,Memento 2000,4262,Scarface 1983,48780,Prestige The 2006,2542,Lock Stock  Two Smoking Barrels 1998
457,457,Fugitive The 1993,349,Clear and Present Danger 1994,474,In the Line of Fire 1993,161,Crimson Tide 1995,1610,Hunt for Red October The 1990,377,Speed 1994,1036,Die Hard 1988,587,Ghost 1990,380,True Lies 1994,110,Braveheart 1995
1270,1270,Back to the Future 1985,2011,Back to the Future Part II 1989,2012,Back to the Future Part III 1990,2716,Ghostbusters aka Ghost Busters 1984,1291,Indiana Jones and the Last Crusade 1989,2918,Ferris Buellers Day Off 1986,1196,Star Wars Episode V  The Empire Strikes Back 1980,1265,Groundhog Day 1993,1198,Raiders of the Lost Ark Indiana Jones and the Raiders of the Lost Ark 1981,1200,Aliens 1986
780,780,Independence Day aka ID4 1996,1917,Armageddon 1998,736,Twister 1996,733,Rock The 1996,1356,Star Trek First Contact 1996,316,Stargate 1994,1580,Men in Black aka MIB 1997,648,Mission Impossible 1996,480,Jurassic Park 1993,2628,Star Wars Episode I  The Phantom Menace 1999
150,150,Apollo 13 1995,161,Crimson Tide 1995,590,Dances with Wolves 1990,62,Mr Hollands Opus 1995,508,Philadelphia 1993,457,Fugitive The 1993,1610,Hunt for Red October The 1990,349,Clear and Present Danger 1994,110,Braveheart 1995,34,Babe 1995
608,608,Fargo 1996,1228,Raging Bull 1980,1252,Chinatown 1974,923,Citizen Kane 1941,1394,Raising Arizona 1987,111,Taxi Driver 1976,750,Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb 1964,55820,No Country for Old Men 2007,1732,Big Lebowski The 1998,1358,Sling Blade 1996
32,32,Twelve Monkeys aka 12 Monkeys 1995,1199,Brazil 1985,1748,Dark City 1998,541,Blade Runner 1982,4878,Donnie Darko 2001,1206,Clockwork Orange A 1971,48774,Children of Men 2006,32587,Sin City 2005,1653,Gattaca 1997,47,Seven aka Se7en 1995
2028,2028,Saving Private Ryan 1998,1090,Platoon 1986,3578,Gladiator 2000,3147,Green Mile The 1999,1233,Boot Das Boat The 1981,1954,Rocky 1976,1704,Good Will Hunting 1997,1222,Full Metal Jacket 1987,48516,Departed The 2006,1208,Apocalypse Now 1979
2762,2762,Sixth Sense The 1999,3147,Green Mile The 1999,1625,Game The 1997,2324,Life Is Beautiful La Vita  bella 1997,953,Its a Wonderful Life 1946,3578,Gladiator 2000,2028,Saving Private Ryan 1998,4995,Beautiful Mind A 2001,4226,Memento 2000,1704,Good Will Hunting 1997
3578,3578,Gladiator 2000,7143,Last Samurai The 2003,51662,300 2007,7153,Lord of the Rings The Return of the King The 2003,91529,Dark Knight Rises The 2012,5418,Bourne Identity The 2002,54286,Bourne Ultimatum The 2007,8665,Bourne Supremacy The 2004,3147,Green Mile The 1999,2028,Saving Private Ryan 1998
592,592,Batman 1989,1377,Batman Returns 1992,153,Batman Forever 1995,2985,RoboCop 1987,353,Crow The 1994,2005,Goonies The 1985,1215,Army of Darkness 1993,3527,Predator 1987,2174,Beetlejuice 1988,2115,Indiana Jones and the Temple of Doom 1984
588,588,Aladdin 1992,595,Beauty and the Beast 1991,1907,Mulan 1998,2081,Little Mermaid The 1989,364,Lion King The 1994,594,Snow White and the Seven Dwarfs 1937,1028,Mary Poppins 1964,78499,Toy Story 3 2010,1035,Sound of Music The 1965,3114,Toy Story 2 1999
364,364,Lion King The 1994,1907,Mulan 1998,595,Beauty and the Beast 1991,588,Aladdin 1992,2081,Little Mermaid The 1989,78499,Toy Story 3 2010,594,Snow White and the Seven Dwarfs 1937,76093,How to Train Your Dragon 2010,6377,Finding Nemo 2003,1035,Sound of Music The 1965
4306,4306,Shrek 2001,8360,Shrek 2 2004,5218,Ice Age 2002,4886,Monsters Inc 2001,6377,Finding Nemo 2003,8961,Incredibles The 2004,6539,Pirates of the Caribbean The Curse of the Black Pearl 2003,4308,Moulin Rouge 2001,76093,How to Train Your Dragon 2010,4896,Harry Potter and the Sorcerers Stone aka Harry Potter and the Philosophers Stone 2001
380,380,True Lies 1994,165,Die Hard With a Vengeance 1995,349,Clear and Present Danger 1994,377,Speed 1994,10,GoldenEye 1995,292,Outbreak 1995,316,Stargate 1994,2916,Total Recall 1990,339,While You Were Sleeping 1995,2000,Lethal Weapon 1987
590,590,Dances with Wolves 1990,266,Legends of the Fall 1994,110,Braveheart 1995,508,Philadelphia 1993,150,Apollo 13 1995,587,Ghost 1990,62,Mr Hollands Opus 1995,161,Crimson Tide 1995,527,Schindlers List 1993,539,Sleepless in Seattle 1993
58559,58559,Dark Knight The 2008,91529,Dark Knight Rises The 2012,79132,Inception 2010,60684,Watchmen 2009,33794,Batman Begins 2005,122882,Mad Max Fury Road 2015,109487,Interstellar 2014,48780,Prestige The 2006,89745,Avengers The 2012,68157,Inglourious Basterds 2009
377,377,Speed 1994,185,Net The 1995,587,Ghost 1990,736,Twister 1996,165,Die Hard With a Vengeance 1995,339,While You Were Sleeping 1995,292,Outbreak 1995,380,True Lies 1994,597,Pretty Woman 1990,500,Mrs Doubtfire 1993
4226,4226,Memento 2000,27773,Old Boy 2003,48780,Prestige The 2006,4878,Donnie Darko 2001,4848,Mulholland Drive 2001,3949,Requiem for a Dream 2000,6016,City of God Cidade de Deus 2002,7361,Eternal Sunshine of the Spotless Mind 2004,4011,Snatch 2000,32587,Sin City 2005
1580,1580,Men in Black aka MIB 1997,8644,I Robot 2004,1527,Fifth Element The 1997,2617,Mummy The 1999,2012,Back to the Future Part III 1990,1917,Armageddon 1998,2011,Back to the Future Part II 1989,6365,Matrix Reloaded The 2003,3175,Galaxy Quest 1999,45722,Pirates of the Caribbean Dead Mans Chest 2006
1704,1704,Good Will Hunting 1997,1246,Dead Poets Society 1989,4995,Beautiful Mind A 2001,112552,Whiplash 2014,2324,Life Is Beautiful La Vita  bella 1997,3147,Green Mile The 1999,30707,Million Dollar Baby 2004,48516,Departed The 2006,92259,Intouchables 2011,1961,Rain Man 1988
79132,79132,Inception 2010,109487,Interstellar 2014,91529,Dark Knight Rises The 2012,74458,Shutter Island 2010,84152,Limitless 2011,48780,Prestige The 2006,111759,Edge of Tomorrow 2014,112552,Whiplash 2014,164179,Arrival 2016,92259,Intouchables 2011
1240,1240,Terminator The 1984,3527,Predator 1987,1200,Aliens 1986,2288,Thing The 1982,2985,RoboCop 1987,1275,Highlander 1986,1214,Alien 1979,1036,Die Hard 1988,2916,Total Recall 1990,1374,Star Trek II The Wrath of Khan 1982
1291,1291,Indiana Jones and the Last Crusade 1989,2115,Indiana Jones and the Temple of Doom 1984,1198,Raiders of the Lost Ark Indiana Jones and the Raiders of the Lost Ark 1981,1196,Star Wars Episode V  The Empire Strikes Back 1980,1210,Star Wars Episode VI  Return of the Jedi 1983,34405,Serenity 2005,1036,Die Hard 1988,1200,Aliens 1986,1374,Star Trek II The Wrath of Khan 1982,1610,Hunt for Red October The 1990
1197,1197,Princess Bride The 1987,2804,Christmas Story A 1983,1136,Monty Python and the Holy Grail 1975,1278,Young Frankenstein 1974,2918,Ferris Buellers Day Off 1986,953,Its a Wonderful Life 1946,1288,This Is Spinal Tap 1984,1148,Wallace  Gromit The Wrong Trousers 1993,919,Wizard of Oz The 1939,1394,Raising Arizona 1987
1136,1136,Monty Python and the Holy Grail 1975,6807,Monty Pythons The Meaning of Life 1983,1080,Monty Pythons Life of Brian 1979,1288,This Is Spinal Tap 1984,1278,Young Frankenstein 1974,3671,Blazing Saddles 1974,1199,Brazil 1985,750,Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb 1964,1197,Princess Bride The 1987,1148,Wallace  Gromit The Wrong Trousers 1993
1721,1721,Titanic 1997,8533,Notebook The 2004,920,Gone with the Wind 1939,2081,Little Mermaid The 1989,1035,Sound of Music The 1965,953,Its a Wonderful Life 1946,597,Pretty Woman 1990,3147,Green Mile The 1999,72998,Avatar 2009,1704,Good Will Hunting 1997
1265,1265,Groundhog Day 1993,953,Its a Wonderful Life 1946,2804,Christmas Story A 1983,6711,Lost in Translation 2003,1278,Young Frankenstein 1974,1288,This Is Spinal Tap 1984,2011,Back to the Future Part II 1989,2791,Airplane 1980,2918,Ferris Buellers Day Off 1986,1197,Princess Bride The 1987
344,344,Ace Ventura Pet Detective 1994,19,Ace Ventura When Nature Calls 1995,231,Dumb  Dumber Dumb and Dumber 1994,333,Tommy Boy 1995,367,Mask The 1994,104,Happy Gilmore 1996,1485,Liar Liar 1997,1517,Austin Powers International Man of Mystery 1997,2683,Austin Powers The Spy Who Shagged Me 1999,586,Home Alone 1990
6539,6539,Pirates of the Caribbean The Curse of the Black Pearl 2003,53125,Pirates of the Caribbean At Worlds End 2007,45722,Pirates of the Caribbean Dead Mans Chest 2006,98809,Hobbit An Unexpected Journey The 2012,8368,Harry Potter and the Prisoner of Azkaban 2004,40815,Harry Potter and the Goblet of Fire 2005,54001,Harry Potter and the Order of the Phoenix 2007,88125,Harry Potter and the Deathly Hallows Part 2 2011,5816,Harry Potter and the Chamber of Secrets 2002,81834,Harry Potter and the Deathly Hallows Part 1 2010
648,648,Mission Impossible 1996,3623,Mission Impossible II 2000,733,Rock The 1996,736,Twister 1996,1370,Die Hard 2 1990,780,Independence Day aka ID4 1996,2353,Enemy of the State 1998,10,GoldenEye 1995,1101,Top Gun 1986,1573,FaceOff 1997
1036,1036,Die Hard 1988,1370,Die Hard 2 1990,2000,Lethal Weapon 1987,3527,Predator 1987,1240,Terminator The 1984,1200,Aliens 1986,2288,Thing The 1982,1291,Indiana Jones and the Last Crusade 1989,1954,Rocky 1976,1387,Jaws 1975
541,541,Blade Runner 1982,1199,Brazil 1985,741,Ghost in the Shell Kkaku kidtai 1995,924,2001 A Space Odyssey 1968,1274,Akira 1988,2019,Seven Samurai Shichinin no samurai 1954,2288,Thing The 1982,1208,Apocalypse Now 1979,1214,Alien 1979,750,Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb 1964
1214,1214,Alien 1979,2288,Thing The 1982,1200,Aliens 1986,541,Blade Runner 1982,924,2001 A Space Odyssey 1968,1997,Exorcist The 1973,1387,Jaws 1975,1199,Brazil 1985,3527,Predator 1987,1240,Terminator The 1984
1193,1193,One Flew Over the Cuckoos Nest 1975,1228,Raging Bull 1980,1263,Deer Hunter The 1978,923,Citizen Kane 1941,1208,Apocalypse Now 1979,1207,To Kill a Mockingbird 1962,1276,Cool Hand Luke 1967,1203,12 Angry Men 1957,2019,Seven Samurai Shichinin no samurai 1954,1247,Graduate The 1967
595,595,Beauty and the Beast 1991,1022,Cinderella 1950,2081,Little Mermaid The 1989,1907,Mulan 1998,594,Snow White and the Seven Dwarfs 1937,588,Aladdin 1992,364,Lion King The 1994,1028,Mary Poppins 1964,1035,Sound of Music The 1965,899,Singin in the Rain 1952
6377,6377,Finding Nemo 2003,4886,Monsters Inc 2001,78499,Toy Story 3 2010,8961,Incredibles The 2004,50872,Ratatouille 2007,8360,Shrek 2 2004,5218,Ice Age 2002,134853,Inside Out 2015,1907,Mulan 1998,76093,How to Train Your Dragon 2010
1089,1089,Reservoir Dogs 1992,4262,Scarface 1983,27773,Old Boy 2003,2542,Lock Stock  Two Smoking Barrels 1998,1884,Fear and Loathing in Las Vegas 1998,1213,Goodfellas 1990,1206,Clockwork Orange A 1971,55820,No Country for Old Men 2007,1732,Big Lebowski The 1998,1228,Raging Bull 1980
367,367,Mask The 1994,19,Ace Ventura When Nature Calls 1995,344,Ace Ventura Pet Detective 1994,231,Dumb  Dumber Dumb and Dumber 1994,2,Jumanji 1995,1485,Liar Liar 1997,586,Home Alone 1990,500,Mrs Doubtfire 1993,2012,Back to the Future Part III 1990,587,Ghost 1990
1097,1097,ET the ExtraTerrestrial 1982,3471,Close Encounters of the Third Kind 1977,919,Wizard of Oz The 1939,953,Its a Wonderful Life 1946,1302,Field of Dreams 1989,1035,Sound of Music The 1965,1028,Mary Poppins 1964,920,Gone with the Wind 1939,1387,Jaws 1975,2804,Christmas Story A 1983
4886,4886,Monsters Inc 2001,6377,Finding Nemo 2003,78499,Toy Story 3 2010,8961,Incredibles The 2004,79091,Despicable Me 2010,5218,Ice Age 2002,50872,Ratatouille 2007,152081,Zootopia 2016,76093,How to Train Your Dragon 2010,134853,Inside Out 2015
4973,4973,Amelie Fabuleux destin dAmlie Poulain Le 2001,44555,Lives of Others The Das leben der Anderen 2006,6711,Lost in Translation 2003,7361,Eternal Sunshine of the Spotless Mind 2004,4979,Royal Tenenbaums The 2001,5618,Spirited Away Sen to Chihiro no kamikakushi 2001,5971,My Neighbor Totoro Tonari no Totoro 1988,31658,Howls Moving Castle Hauru no ugoku shiro 2004,109374,Grand Budapest Hotel The 2014,6016,City of God Cidade de Deus 2002
597,597,Pretty Woman 1990,1088,Dirty Dancing 1987,587,Ghost 1990,539,Sleepless in Seattle 1993,2671,Notting Hill 1999,11,American President The 1995,1380,Grease 1978,339,While You Were Sleeping 1995,500,Mrs Doubtfire 1993,1101,Top Gun 1986
500,500,Mrs Doubtfire 1993,317,Santa Clause The 1994,587,Ghost 1990,586,Home Alone 1990,539,Sleepless in Seattle 1993,597,Pretty Woman 1990,2,Jumanji 1995,339,While You Were Sleeping 1995,11,American President The 1995,350,Client The 1994
1221,1221,Godfather Part II The 1974,858,Godfather The 1972,1228,Raging Bull 1980,1213,Goodfellas 1990,4262,Scarface 1983,1263,Deer Hunter The 1978,2019,Seven Samurai Shichinin no samurai 1954,1252,Chinatown 1974,923,Citizen Kane 1941,1208,Apocalypse Now 1979
6874,6874,Kill Bill Vol 1 2003,7438,Kill Bill Vol 2 2004,32587,Sin City 2005,27773,Old Boy 2003,68157,Inglourious Basterds 2009,55820,No Country for Old Men 2007,4011,Snatch 2000,4262,Scarface 1983,99114,Django Unchained 2012,122882,Mad Max Fury Road 2015
165,165,Die Hard With a Vengeance 1995,1370,Die Hard 2 1990,1036,Die Hard 1988,434,Cliffhanger 1993,380,True Lies 1994,292,Outbreak 1995,10,GoldenEye 1995,2000,Lethal Weapon 1987,377,Speed 1994,3527,Predator 1987
1682,1682,Truman Show The 1998,106920,Her 2013,7361,Eternal Sunshine of the Spotless Mind 2004,7254,The Butterfly Effect 2004,68237,Moon 2009,164179,Arrival 2016,109374,Grand Budapest Hotel The 2014,112552,Whiplash 2014,115713,Ex Machina 2015,7147,Big Fish 2003
293,293,Lon The Professional aka The Professional Lon 1994,27773,Old Boy 2003,2542,Lock Stock  Two Smoking Barrels 1998,4011,Snatch 2000,32587,Sin City 2005,4262,Scarface 1983,6016,City of God Cidade de Deus 2002,3949,Requiem for a Dream 2000,55820,No Country for Old Men 2007,3000,Princess Mononoke Mononokehime 1997
7361,7361,Eternal Sunshine of the Spotless Mind 2004,5902,Adaptation 2002,8784,Garden State 2004,6711,Lost in Translation 2003,106920,Her 2013,4878,Donnie Darko 2001,27773,Old Boy 2003,3949,Requiem for a Dream 2000,4979,Royal Tenenbaums The 2001,56782,There Will Be Blood 2007
1527,1527,Fifth Element The 1997,34405,Serenity 2005,5903,Equilibrium 2002,1676,Starship Troopers 1997,3275,Boondock Saints The 2000,1748,Dark City 1998,3527,Predator 1987,3052,Dogma 1999,1653,Gattaca 1997,6365,Matrix Reloaded The 2003
1213,1213,Goodfellas 1990,1228,Raging Bull 1980,1221,Godfather Part II The 1974,4262,Scarface 1983,16,Casino 1995,1263,Deer Hunter The 1978,56782,There Will Be Blood 2007,1208,Apocalypse Now 1979,1089,Reservoir Dogs 1992,858,Godfather The 1972
3793,3793,XMen 2000,45499,XMen The Last Stand 2006,6333,X2 XMen United 2003,87232,XMen First Class 2011,111362,XMen Days of Future Past 2014,77561,Iron Man 2 2010,8636,SpiderMan 2 2004,5349,SpiderMan 2002,33493,Star Wars Episode III  Revenge of the Sith 2005,5378,Star Wars Episode II  Attack of the Clones 2002
2716,2716,Ghostbusters aka Ghost Busters 1984,2005,Goonies The 1985,3552,Caddyshack 1980,3671,Blazing Saddles 1974,3421,Animal House 1978,3039,Trading Places 1983,1215,Army of Darkness 1993,1220,Blues Brothers The 1980,2011,Back to the Future Part II 1989,2918,Ferris Buellers Day Off 1986
733,733,Rock The 1996,1552,Con Air 1997,832,Ransom 1996,1573,FaceOff 1997,1370,Die Hard 2 1990,805,Time to Kill A 1996,780,Independence Day aka ID4 1996,2353,Enemy of the State 1998,736,Twister 1996,104,Happy Gilmore 1996
231,231,Dumb  Dumber Dumb and Dumber 1994,19,Ace Ventura When Nature Calls 1995,216,Billy Madison 1995,333,Tommy Boy 1995,344,Ace Ventura Pet Detective 1994,104,Happy Gilmore 1996,1517,Austin Powers International Man of Mystery 1997,367,Mask The 1994,1923,Theres Something About Mary 1998,2683,Austin Powers The Spy Who Shagged Me 1999
2628,2628,Star Wars Episode I  The Phantom Menace 1999,5378,Star Wars Episode II  Attack of the Clones 2002,33493,Star Wars Episode III  Revenge of the Sith 2005,6934,Matrix Revolutions The 2003,6365,Matrix Reloaded The 2003,1917,Armageddon 1998,1210,Star Wars Episode VI  Return of the Jedi 1983,2012,Back to the Future Part III 1990,45722,Pirates of the Caribbean Dead Mans Chest 2006,1196,Star Wars Episode V  The Empire Strikes Back 1980
4963,4963,Oceans Eleven 2001,53322,Oceans Thirteen 2007,8984,Oceans Twelve 2004,6378,Italian Job The 2003,44199,Inside Man 2006,8665,Bourne Supremacy The 2004,44665,Lucky Number Slevin 2006,3275,Boondock Saints The 2000,5418,Bourne Identity The 2002,54286,Bourne Ultimatum The 2007
4995,4995,Beautiful Mind A 2001,47099,Pursuit of Happyness The 2006,47610,Illusionist The 2006,5995,Pianist The 2002,92259,Intouchables 2011,5989,Catch Me If You Can 2002,7254,The Butterfly Effect 2004,30707,Million Dollar Baby 2004,116797,The Imitation Game 2014,3147,Green Mile The 1999
1200,1200,Aliens 1986,1214,Alien 1979,2288,Thing The 1982,3527,Predator 1987,1240,Terminator The 1984,1374,Star Trek II The Wrath of Khan 1982,541,Blade Runner 1982,1387,Jaws 1975,1215,Army of Darkness 1993,1127,Abyss The 1989
34,34,Babe 1995,246,Hoop Dreams 1994,265,Like Water for Chocolate Como agua para chocolate 1992,17,Sense and Sensibility 1995,594,Snow White and the Seven Dwarfs 1937,745,Wallace  Gromit A Close Shave 1995,1148,Wallace  Gromit The Wrong Trousers 1993,953,Its a Wonderful Life 1946,1028,Mary Poppins 1964,1035,Sound of Music The 1965
2329,2329,American History X 1998,3275,Boondock Saints The 2000,4262,Scarface 1983,3949,Requiem for a Dream 2000,6016,City of God Cidade de Deus 2002,4011,Snatch 2000,48516,Departed The 2006,27773,Old Boy 2003,2959,Fight Club 1999,2542,Lock Stock  Two Smoking Barrels 1998
153,153,Batman Forever 1995,1377,Batman Returns 1992,19,Ace Ventura When Nature Calls 1995,317,Santa Clause The 1994,185,Net The 1995,592,Batman 1989,344,Ace Ventura Pet Detective 1994,329,Star Trek Generations 1994,367,Mask The 1994,208,Waterworld 1995
736,736,Twister 1996,786,Eraser 1996,494,Executive Decision 1996,653,Dragonheart 1996,95,Broken Arrow 1996,780,Independence Day aka ID4 1996,802,Phenomenon 1996,62,Mr Hollands Opus 1995,832,Ransom 1996,733,Rock The 1996
316,316,Stargate 1994,329,Star Trek Generations 1994,208,Waterworld 1995,185,Net The 1995,292,Outbreak 1995,1676,Starship Troopers 1997,780,Independence Day aka ID4 1996,1356,Star Trek First Contact 1996,34405,Serenity 2005,1527,Fifth Element The 1997
